marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,score_latente,exito
FiberPlus,cereal,retail,122.31,74.18,48.13,39.35,8,62,84,media,9,Se siente de buena calidad,1,83.0,1,7.23,0
CrunchMax,cereal,retail,63.34,44.15,19.19,30.3,7,73,56,media,7,Solo lo compraría en promoción,0,54.0,0,3.84,0
GoldenGrain,cereal,retail,88.11,52.5,35.61,40.42,4,76,68,media,5,"Está bien, cumple",0,40.0,0,25.69,1
FiberPlus,cereal,retail,100.19,57.47,42.72,42.64,6,89,71,alta,5,Podría mejorar,0,40.0,0,29.57,1
HoneyOats,cereal,marketplace,73.09,37.25,35.84,49.04,6,82,47,media,7,Podría mejorar,0,54.0,0,21.88,1
FitMorning,cereal,retail,124.55,63.6,60.95,48.94,8,72,85,alta,7,Nada extraordinario,0,54.0,0,11.54,1
HoneyOats,cereal,retail,61.03,38.89,22.14,36.28,7,64,53,baja,7,Podría mejorar,0,54.0,0,-3.69,0
CornCrisp,cereal,retail,66.75,41.46,25.29,37.89,9,86,49,media,9,Excelente relación calidad-precio,1,83.0,1,6.49,0
CornCrisp,cereal,marketplace,56.43,29.23,27.2,48.2,8,61,86,media,5,Podría mejorar,0,40.0,0,0.08,0
VitalMix,cereal,marketplace,123.83,70.66,53.17,42.94,5,64,73,baja,6,Podría mejorar,0,47.0,0,10.71,0
GoldenGrain,cereal,retail,101.77,58.55,43.22,42.47,7,69,52,media,5,Podría mejorar,0,40.0,0,3.24,0
HoneyOats,cereal,marketplace,89.78,44.58,45.2,50.35,5,67,60,media,6,Nada extraordinario,0,47.0,0,22.85,1
CrunchMax,cereal,retail,38.22,19.67,18.55,48.53,6,94,54,alta,7,Solo lo compraría en promoción,0,54.0,0,35.55,1
VitalMix,cereal,retail,65.39,40.46,24.93,38.13,5,67,78,baja,7,"Está bien, cumple",0,54.0,0,27.5,1
FiberPlus,cereal,retail,106.7,64.3,42.4,39.74,8,71,70,media,7,Podría mejorar,0,54.0,0,10.22,0
KidsStar,cereal,retail,54.96,32.51,22.45,40.85,7,82,48,media,7,Solo lo compraría en promoción,0,54.0,0,14.52,1
FiberPlus,cereal,marketplace,98.18,68.76,29.42,29.97,7,51,75,baja,6,"Está bien, cumple",0,47.0,0,-13.78,0
FiberPlus,cereal,marketplace,148.88,89.67,59.21,39.77,9,54,70,media,6,Es un cereal promedio,0,47.0,0,-13.87,0
KidsStar,cereal,marketplace,52.75,28.81,23.94,45.38,9,80,62,alta,8,Me identifico con esta marca,1,76.0,1,22.49,1
FitMorning,cereal,retail,95.37,52.13,43.24,45.34,10,77,73,media,8,Se siente de buena calidad,1,76.0,1,-2.94,0
CrunchMax,cereal,retail,90.69,63.38,27.31,30.11,8,88,44,alta,5,"Está bien, cumple",0,40.0,0,14.63,1
GoldenGrain,cereal,retail,93.23,43.89,49.34,52.92,5,60,45,baja,7,Podría mejorar,0,54.0,0,13.26,1
CerealNova,cereal,retail,76.4,40.9,35.5,46.47,8,61,42,media,5,Podría mejorar,0,40.0,0,-4.38,0
HoneyOats,cereal,retail,91.87,60.04,31.83,34.65,10,76,66,baja,6,Podría mejorar,0,47.0,0,-10.86,0
VitalMix,cereal,retail,127.37,78.59,48.78,38.3,9,56,71,baja,3,Se me hizo caro,-1,11.0,0,-30.85,0
VitalMix,cereal,marketplace,117.07,70.87,46.2,39.46,8,62,84,media,6,Podría mejorar,0,47.0,0,1.42,0
ChocoBoom,cereal,retail,100.97,54.77,46.2,45.76,3,84,53,alta,4,No me gustó el sabor,-1,18.0,0,34.12,1
FiberPlus,cereal,marketplace,73.52,52.78,20.74,28.21,6,77,59,media,6,Solo lo compraría en promoción,0,47.0,0,13.78,1
FiberPlus,cereal,retail,114.31,73.01,41.3,36.13,5,60,65,baja,7,Solo lo compraría en promoción,0,54.0,0,16.59,1
ChocoBoom,cereal,marketplace,67.45,48.13,19.32,28.64,8,60,61,baja,8,Me gusta mucho esta marca,1,76.0,1,-2.07,0
HoneyOats,cereal,retail,83.13,47.24,35.89,43.17,7,77,43,media,4,No conecté con la marca,-1,18.0,0,-9.85,0
FitMorning,cereal,retail,159.49,106.01,53.48,33.53,5,51,46,media,6,Es un cereal promedio,0,47.0,0,4.52,0
ChocoBoom,cereal,retail,59.57,35.31,24.26,40.73,7,80,65,media,7,Solo lo compraría en promoción,0,54.0,0,16.92,1
CrunchMax,cereal,marketplace,76.74,47.62,29.12,37.95,7,63,41,baja,5,Es un cereal promedio,0,40.0,0,3.3,0
CrunchMax,cereal,retail,70.88,38.01,32.87,46.37,6,55,52,baja,6,Podría mejorar,0,47.0,0,-3.32,0
KidsStar,cereal,retail,90.51,49.67,40.84,45.12,5,76,48,alta,6,Es un cereal promedio,0,47.0,0,15.55,1
CrunchMax,cereal,marketplace,80.62,44.71,35.91,44.54,6,68,56,media,6,Podría mejorar,0,47.0,0,23.93,1
ChocoBoom,cereal,marketplace,82.19,40.9,41.29,50.24,6,77,29,media,7,Nada extraordinario,0,54.0,0,0.74,0
VitalMix,cereal,marketplace,131.86,94.18,37.68,28.58,5,48,67,baja,6,Podría mejorar,0,47.0,0,-3.06,0
FiberPlus,cereal,retail,156.19,90.14,66.05,42.29,7,47,65,media,6,"Está bien, cumple",0,47.0,0,-6.72,0
KidsStar,cereal,retail,94.48,55.27,39.21,41.5,7,66,30,media,5,Podría mejorar,0,40.0,0,2.04,0
GoldenGrain,cereal,retail,121.28,82.56,38.72,31.93,6,69,50,media,6,Podría mejorar,0,47.0,0,3.12,0
GoldenGrain,cereal,retail,112.06,52.47,59.59,53.18,7,63,54,alta,5,Nada extraordinario,0,40.0,0,3.83,0
VitalMix,cereal,retail,122.81,58.51,64.3,52.36,6,58,69,baja,5,Es un cereal promedio,0,40.0,0,6.53,0
CornCrisp,cereal,marketplace,68.68,36.29,32.39,47.16,6,79,71,alta,6,Podría mejorar,0,47.0,0,22.18,1
KidsStar,cereal,marketplace,110.55,68.7,41.85,37.86,8,71,69,media,8,Se siente de buena calidad,1,76.0,1,4.29,0
CrunchMax,cereal,retail,82.19,47.89,34.3,41.73,7,65,47,media,7,Nada extraordinario,0,54.0,0,2.34,0
GoldenGrain,cereal,retail,115.07,63.26,51.81,45.02,8,62,39,baja,4,No conecté con la marca,-1,18.0,0,-18.88,0
FitMorning,cereal,retail,129.69,60.54,69.15,53.32,8,54,68,media,8,Se siente de buena calidad,1,76.0,1,9.3,0
FiberPlus,cereal,retail,111.08,63.28,47.8,43.03,6,54,89,baja,4,No me convence el producto,-1,18.0,0,9.33,0
HoneyOats,cereal,marketplace,67.8,37.6,30.2,44.54,7,63,63,media,6,Solo lo compraría en promoción,0,47.0,0,4.99,0
CrunchMax,cereal,retail,49.08,24.38,24.7,50.33,10,64,69,baja,9,Me gusta mucho esta marca,1,83.0,1,1.47,0
CornCrisp,cereal,retail,89.07,55.06,34.01,38.18,5,57,53,baja,5,Podría mejorar,0,40.0,0,16.63,1
HoneyOats,cereal,marketplace,96.65,49.39,47.26,48.9,6,64,53,media,5,Es un cereal promedio,0,40.0,0,8.02,0
CrunchMax,cereal,retail,54.87,25.89,28.98,52.82,6,56,79,baja,8,Excelente relación calidad-precio,1,76.0,1,17.58,1
GoldenGrain,cereal,retail,138.53,74.6,63.93,46.15,10,68,60,alta,6,Es un cereal promedio,0,47.0,0,-12.58,0
CerealNova,cereal,retail,77.64,46.72,30.92,39.82,6,68,59,media,6,Solo lo compraría en promoción,0,47.0,0,11.69,1
HoneyOats,cereal,marketplace,43.41,31.1,12.31,28.36,6,89,72,alta,7,Podría mejorar,0,54.0,0,20.69,1
ChocoBoom,cereal,retail,42.94,26.67,16.27,37.89,9,95,56,media,8,Me gusta mucho esta marca,1,76.0,1,-0.15,0
CornCrisp,cereal,retail,57.98,39.24,18.74,32.32,7,92,43,alta,5,Podría mejorar,0,40.0,0,7.38,0
CerealNova,cereal,retail,73.83,38.24,35.59,48.21,9,80,69,media,6,Es un cereal promedio,0,47.0,0,7.04,0
CerealNova,cereal,marketplace,96.81,59.98,36.83,38.04,6,65,47,media,6,Podría mejorar,0,47.0,0,12.45,1
CerealNova,cereal,retail,107.3,68.47,38.83,36.19,6,80,45,alta,6,Solo lo compraría en promoción,0,47.0,0,22.61,1
GoldenGrain,cereal,marketplace,125.48,63.19,62.29,49.64,8,67,48,alta,6,Es un cereal promedio,0,47.0,0,-3.38,0
VitalMix,cereal,retail,131.7,63.68,68.02,51.65,8,65,58,media,4,Se me hizo caro,-1,18.0,0,-20.69,0
FitMorning,cereal,retail,95.17,49.87,45.3,47.6,8,57,54,baja,7,"Está bien, cumple",0,54.0,0,-9.25,0
GoldenGrain,cereal,marketplace,111.1,79.01,32.09,28.88,6,55,29,media,6,Podría mejorar,0,47.0,0,1.27,0
ChocoBoom,cereal,retail,63.88,28.88,35.0,54.79,9,88,40,media,6,Podría mejorar,0,47.0,0,0.02,0
HoneyOats,cereal,marketplace,78.58,50.07,28.51,36.28,8,72,64,baja,4,No me gustó el sabor,-1,18.0,0,-9.75,0
CornCrisp,cereal,retail,65.44,35.93,29.51,45.09,9,80,50,media,5,Nada extraordinario,0,40.0,0,-5.3,0
GoldenGrain,cereal,retail,137.12,79.1,58.02,42.31,8,61,71,alta,6,Solo lo compraría en promoción,0,47.0,0,1.39,0
GoldenGrain,cereal,retail,114.84,73.9,40.94,35.65,6,59,31,media,8,Me gusta mucho esta marca,1,76.0,1,9.17,0
HoneyOats,cereal,marketplace,87.21,56.56,30.65,35.15,8,86,60,alta,7,Podría mejorar,0,54.0,0,3.5,0
ChocoBoom,cereal,retail,90.53,46.14,44.39,49.03,5,90,60,alta,7,Podría mejorar,0,54.0,0,32.55,1
FiberPlus,cereal,marketplace,127.63,83.46,44.17,34.61,5,57,73,baja,6,"Está bien, cumple",0,47.0,0,13.66,1
KidsStar,cereal,retail,96.64,45.13,51.51,53.3,9,91,55,media,6,"Está bien, cumple",0,47.0,0,-0.77,0
HoneyOats,cereal,retail,95.52,49.93,45.59,47.73,10,64,47,media,7,Podría mejorar,0,54.0,0,-7.31,0
CornCrisp,cereal,retail,82.18,41.6,40.58,49.38,8,83,49,alta,6,Nada extraordinario,0,47.0,0,14.85,1
HoneyOats,cereal,retail,83.57,54.43,29.14,34.87,9,87,69,alta,6,Podría mejorar,0,47.0,0,7.41,0
HoneyOats,cereal,retail,114.27,61.1,53.17,46.53,8,55,79,media,6,Es un cereal promedio,0,47.0,0,-4.15,0
FiberPlus,cereal,retail,155.87,101.61,54.26,34.81,6,58,66,media,5,Solo lo compraría en promoción,0,40.0,0,-2.06,0
CrunchMax,cereal,retail,82.47,56.65,25.82,31.31,6,70,65,media,7,Podría mejorar,0,54.0,0,16.44,1
ChocoBoom,cereal,retail,93.73,47.23,46.5,49.61,8,78,51,media,7,Solo lo compraría en promoción,0,54.0,0,-2.22,0
CerealNova,cereal,marketplace,78.64,46.47,32.17,40.91,9,90,82,media,7,Es un cereal promedio,0,54.0,0,12.2,1
FiberPlus,cereal,retail,110.05,68.71,41.34,37.56,8,83,74,alta,6,Podría mejorar,0,47.0,0,7.19,0
CrunchMax,cereal,marketplace,55.31,35.86,19.45,35.17,6,78,60,baja,6,Podría mejorar,0,47.0,0,10.67,0
FiberPlus,cereal,retail,108.37,62.24,46.13,42.57,8,71,73,media,6,Es un cereal promedio,0,47.0,0,4.84,0
GoldenGrain,cereal,retail,96.14,58.4,37.74,39.26,4,70,50,alta,6,Podría mejorar,0,47.0,0,34.41,1
HoneyOats,cereal,retail,80.58,53.71,26.87,33.35,8,82,38,media,5,Solo lo compraría en promoción,0,40.0,0,-2.28,0
GoldenGrain,cereal,marketplace,132.58,72.58,60.0,45.26,7,73,41,baja,7,Es un cereal promedio,0,54.0,0,-9.67,0
GoldenGrain,cereal,marketplace,128.56,87.65,40.91,31.82,6,54,24,baja,7,"Está bien, cumple",0,54.0,0,-8.74,0
CornCrisp,cereal,retail,75.4,44.75,30.65,40.65,4,60,71,baja,6,Nada extraordinario,0,47.0,0,19.13,1
HoneyOats,cereal,retail,66.42,40.7,25.72,38.72,5,69,52,media,8,Se siente de buena calidad,1,76.0,1,14.9,1
CerealNova,cereal,retail,83.83,58.22,25.61,30.55,8,75,38,media,5,"Está bien, cumple",0,40.0,0,-14.83,0
ChocoBoom,cereal,retail,73.56,37.79,35.77,48.63,4,88,36,alta,6,Nada extraordinario,0,47.0,0,27.94,1
CrunchMax,cereal,retail,71.79,47.29,24.5,34.13,10,57,42,media,6,Es un cereal promedio,0,47.0,0,-25.2,0
HoneyOats,cereal,marketplace,94.6,67.05,27.55,29.12,5,56,63,media,5,Solo lo compraría en promoción,0,40.0,0,11.83,1
CerealNova,cereal,marketplace,60.21,39.98,20.23,33.6,7,72,65,baja,6,Nada extraordinario,0,47.0,0,3.58,0
GoldenGrain,cereal,retail,75.19,45.49,29.7,39.5,10,72,50,media,7,Solo lo compraría en promoción,0,54.0,0,-15.41,0
FitMorning,cereal,marketplace,133.95,75.61,58.34,43.55,8,67,66,media,7,Solo lo compraría en promoción,0,54.0,0,10.06,0
FiberPlus,cereal,retail,123.92,78.96,44.96,36.28,8,62,79,alta,7,Podría mejorar,0,54.0,0,10.78,1
VitalMix,cereal,marketplace,107.77,64.84,42.93,39.83,5,71,74,alta,7,Podría mejorar,0,54.0,0,31.62,1
CornCrisp,cereal,marketplace,86.57,49.01,37.56,43.39,10,63,63,media,6,Es un cereal promedio,0,47.0,0,-0.68,0
FitMorning,cereal,retail,144.96,70.24,74.72,51.55,8,61,68,media,5,"Está bien, cumple",0,40.0,0,7.4,0
CrunchMax,cereal,retail,96.55,56.91,39.64,41.06,4,58,72,media,6,Nada extraordinario,0,47.0,0,37.15,1
CrunchMax,cereal,retail,77.06,40.59,36.47,47.33,6,72,49,media,6,Es un cereal promedio,0,47.0,0,20.48,1
CerealNova,cereal,retail,82.19,47.93,34.26,41.68,8,78,51,media,5,Solo lo compraría en promoción,0,40.0,0,-5.05,0
CerealNova,cereal,marketplace,73.35,39.14,34.21,46.64,5,80,61,alta,8,Me gusta mucho esta marca,1,76.0,1,35.65,1
FiberPlus,cereal,retail,156.15,86.82,69.33,44.4,6,45,58,media,4,No me gustó el sabor,-1,18.0,0,-2.11,0
CornCrisp,cereal,marketplace,55.8,34.32,21.48,38.49,6,78,51,media,5,Podría mejorar,0,40.0,0,14.86,1
VitalMix,cereal,retail,105.46,60.45,45.01,42.68,9,52,54,media,7,Nada extraordinario,0,54.0,0,-21.02,0
CerealNova,cereal,marketplace,109.55,55.57,53.98,49.27,7,72,75,alta,6,Podría mejorar,0,47.0,0,13.87,1
CrunchMax,cereal,retail,51.3,29.94,21.36,41.64,7,74,42,alta,4,Se me hizo caro,-1,18.0,0,6.76,0
HoneyOats,cereal,retail,86.05,50.97,35.08,40.77,5,69,42,media,5,Es un cereal promedio,0,40.0,0,22.72,1
FiberPlus,cereal,retail,130.17,86.52,43.65,33.53,6,85,64,alta,8,Se siente de buena calidad,1,76.0,1,20.77,1
KidsStar,cereal,retail,55.4,29.67,25.73,46.44,5,77,56,media,7,Es un cereal promedio,0,54.0,0,19.37,1
ChocoBoom,cereal,retail,65.76,30.65,35.11,53.39,6,85,55,media,8,Excelente relación calidad-precio,1,76.0,1,36.9,1
CerealNova,cereal,retail,77.33,53.11,24.22,31.32,5,84,47,alta,6,Nada extraordinario,0,47.0,0,29.33,1
CrunchMax,cereal,marketplace,73.43,43.39,30.04,40.91,10,74,69,media,4,No conecté con la marca,-1,18.0,0,-12.0,0
VitalMix,cereal,retail,135.45,61.28,74.17,54.76,6,65,60,alta,7,"Está bien, cumple",0,54.0,0,19.68,1
HoneyOats,cereal,retail,91.99,41.65,50.34,54.72,8,60,54,baja,8,Excelente relación calidad-precio,1,76.0,1,0.35,0
FiberPlus,cereal,retail,76.75,44.22,32.53,42.38,9,54,83,baja,8,Me gusta mucho esta marca,1,76.0,1,0.71,0
CerealNova,cereal,retail,90.06,43.93,46.13,51.22,6,79,40,media,8,Se siente de buena calidad,1,76.0,1,24.23,1
HoneyOats,cereal,retail,82.59,52.19,30.4,36.81,7,85,53,alta,8,Excelente relación calidad-precio,1,76.0,1,11.01,1
CornCrisp,cereal,retail,91.86,64.13,27.73,30.19,10,70,55,baja,6,Es un cereal promedio,0,47.0,0,-17.18,0
VitalMix,cereal,retail,133.74,87.57,46.17,34.52,10,43,64,baja,5,Solo lo compraría en promoción,0,40.0,0,-25.37,0
FiberPlus,cereal,retail,80.67,45.8,34.87,43.23,6,78,53,media,7,Nada extraordinario,0,54.0,0,14.58,1
FiberPlus,cereal,retail,105.86,52.71,53.15,50.21,6,48,52,media,5,Es un cereal promedio,0,40.0,0,8.48,0
CornCrisp,cereal,retail,103.29,53.67,49.62,48.04,6,77,51,media,6,Podría mejorar,0,47.0,0,10.97,1
FiberPlus,cereal,retail,139.59,72.2,67.39,48.28,7,47,72,media,6,Es un cereal promedio,0,47.0,0,-2.59,0
FiberPlus,cereal,retail,66.11,37.47,28.64,43.32,7,63,72,media,6,Solo lo compraría en promoción,0,47.0,0,1.06,0
HoneyOats,cereal,retail,96.06,63.0,33.06,34.42,6,72,43,baja,6,Podría mejorar,0,47.0,0,4.11,0
FiberPlus,cereal,retail,102.05,55.83,46.22,45.29,9,55,59,baja,7,Nada extraordinario,0,54.0,0,-5.5,0
FitMorning,cereal,retail,126.68,76.68,50.0,39.47,5,43,59,media,7,Solo lo compraría en promoción,0,54.0,0,5.93,0
ChocoBoom,cereal,retail,96.66,48.23,48.43,50.1,8,77,53,media,7,Nada extraordinario,0,54.0,0,-0.02,0
CerealNova,cereal,marketplace,104.39,62.45,41.94,40.18,7,90,58,alta,8,Me identifico con esta marca,1,76.0,1,30.11,1
FitMorning,cereal,retail,109.07,55.79,53.28,48.85,4,74,57,media,7,Es un cereal promedio,0,54.0,0,26.2,1
ChocoBoom,cereal,marketplace,52.76,31.44,21.32,40.41,7,80,57,media,8,Se siente de buena calidad,1,76.0,1,15.41,1
ChocoBoom,cereal,marketplace,99.07,67.12,31.95,32.25,7,88,65,alta,6,Solo lo compraría en promoción,0,47.0,0,-1.86,0
CrunchMax,cereal,retail,89.58,61.21,28.37,31.67,6,75,45,media,7,Nada extraordinario,0,54.0,0,14.52,1
GoldenGrain,cereal,retail,113.67,70.6,43.07,37.89,5,59,80,media,7,Podría mejorar,0,54.0,0,25.97,1
KidsStar,cereal,retail,60.97,38.42,22.55,36.99,5,90,75,media,8,Se siente de buena calidad,1,76.0,1,35.3,1
VitalMix,cereal,marketplace,112.0,56.64,55.36,49.43,6,60,70,media,6,Solo lo compraría en promoción,0,47.0,0,11.62,1
HoneyOats,cereal,retail,107.17,56.16,51.01,47.6,8,78,53,media,5,Podría mejorar,0,40.0,0,-2.06,0
CornCrisp,cereal,marketplace,102.77,65.98,36.79,35.8,5,76,52,alta,7,Podría mejorar,0,54.0,0,24.45,1
FitMorning,cereal,marketplace,140.71,102.54,38.17,27.13,2,48,72,media,7,Es un cereal promedio,0,54.0,0,22.52,1
VitalMix,cereal,retail,113.55,73.79,39.76,35.02,7,52,78,media,7,Es un cereal promedio,0,54.0,0,10.67,0
CornCrisp,cereal,retail,70.47,41.86,28.61,40.6,4,77,62,baja,8,Me gusta mucho esta marca,1,76.0,1,31.92,1
FitMorning,cereal,retail,140.46,63.72,76.74,54.63,7,57,71,alta,7,Es un cereal promedio,0,54.0,0,14.18,1
HoneyOats,cereal,retail,95.02,61.92,33.1,34.83,8,69,47,alta,5,"Está bien, cumple",0,40.0,0,-1.54,0
ChocoBoom,cereal,retail,88.84,49.76,39.08,43.99,8,68,62,media,6,Es un cereal promedio,0,47.0,0,10.09,0
CrunchMax,cereal,retail,58.69,27.19,31.5,53.67,8,97,68,alta,7,Podría mejorar,0,54.0,0,32.31,1
CerealNova,cereal,retail,68.68,38.11,30.57,44.51,8,79,49,media,7,Podría mejorar,0,54.0,0,4.26,0
ChocoBoom,cereal,retail,85.05,58.33,26.72,31.42,8,89,47,media,6,Es un cereal promedio,0,47.0,0,6.58,0
GoldenGrain,cereal,retail,104.0,66.34,37.66,36.21,4,68,64,baja,6,Podría mejorar,0,47.0,0,4.66,0
CerealNova,cereal,retail,38.69,24.32,14.37,37.14,8,85,61,media,6,Nada extraordinario,0,47.0,0,9.78,0
FiberPlus,cereal,retail,109.56,67.82,41.74,38.1,8,62,66,media,6,Es un cereal promedio,0,47.0,0,0.89,0
CerealNova,cereal,retail,58.84,35.32,23.52,39.97,8,88,63,media,7,Podría mejorar,0,54.0,0,8.69,0
FitMorning,cereal,retail,137.76,85.74,52.02,37.76,8,49,70,media,8,Excelente relación calidad-precio,1,76.0,1,4.96,0
VitalMix,cereal,retail,90.33,60.09,30.24,33.48,6,63,71,media,9,Excelente relación calidad-precio,1,83.0,1,23.34,1
ChocoBoom,cereal,marketplace,70.88,47.0,23.88,33.69,7,66,81,media,8,Me gusta mucho esta marca,1,76.0,1,15.26,1
KidsStar,cereal,retail,76.4,48.91,27.49,35.98,5,79,50,media,6,Solo lo compraría en promoción,0,47.0,0,15.14,1
CrunchMax,cereal,retail,88.12,42.94,45.18,51.27,9,73,59,media,4,No me convence el producto,-1,18.0,0,-10.18,0
ChocoBoom,cereal,marketplace,95.78,64.06,31.72,33.12,6,81,51,media,4,No conecté con la marca,-1,18.0,0,3.98,0
HoneyOats,cereal,marketplace,90.38,61.69,28.69,31.74,5,61,61,baja,7,Nada extraordinario,0,54.0,0,5.33,0
CornCrisp,cereal,retail,60.66,27.58,33.08,54.53,7,78,45,alta,6,Es un cereal promedio,0,47.0,0,19.76,1
CerealNova,cereal,marketplace,65.11,31.92,33.19,50.98,9,67,68,baja,5,Nada extraordinario,0,40.0,0,-1.14,0
GoldenGrain,cereal,marketplace,102.61,66.87,35.74,34.83,6,68,72,media,7,Podría mejorar,0,54.0,0,16.75,1
FitMorning,cereal,retail,108.71,69.19,39.52,36.35,7,66,48,media,6,Nada extraordinario,0,47.0,0,-4.95,0
ChocoBoom,cereal,marketplace,93.2,48.43,44.77,48.04,7,77,76,media,8,Excelente relación calidad-precio,1,76.0,1,21.89,1
VitalMix,cereal,retail,117.06,74.36,42.7,36.48,8,58,54,media,5,Solo lo compraría en promoción,0,40.0,0,-6.79,0
ChocoBoom,cereal,retail,87.66,46.67,40.99,46.76,7,60,54,alta,8,Me gusta mucho esta marca,1,76.0,1,8.48,0
FitMorning,cereal,retail,104.17,68.88,35.29,33.88,7,60,69,baja,6,Es un cereal promedio,0,47.0,0,-1.43,0
GoldenGrain,cereal,retail,90.05,61.68,28.37,31.5,7,73,59,alta,5,"Está bien, cumple",0,40.0,0,12.75,1
HoneyOats,cereal,retail,71.49,32.32,39.17,54.79,8,74,52,baja,7,"Está bien, cumple",0,54.0,0,1.89,0
CornCrisp,cereal,retail,68.49,38.67,29.82,43.54,6,64,64,baja,6,Podría mejorar,0,47.0,0,4.31,0
CornCrisp,cereal,marketplace,117.24,77.68,39.56,33.74,7,57,55,media,6,"Está bien, cumple",0,47.0,0,-3.9,0
GoldenGrain,cereal,retail,116.02,62.39,53.63,46.22,5,75,64,alta,7,Solo lo compraría en promoción,0,54.0,0,29.08,1
HoneyOats,cereal,retail,94.54,56.71,37.83,40.01,8,66,65,media,6,"Está bien, cumple",0,47.0,0,3.54,0
ChocoBoom,cereal,retail,78.3,46.26,32.04,40.92,6,56,64,baja,10,Me identifico con esta marca,1,90.0,1,6.92,0
FiberPlus,cereal,retail,93.31,54.87,38.44,41.2,8,62,71,media,7,"Está bien, cumple",0,54.0,0,10.71,1
CornCrisp,cereal,marketplace,96.81,48.55,48.26,49.85,4,71,57,media,5,Podría mejorar,0,40.0,0,33.03,1
GoldenGrain,cereal,marketplace,110.63,60.37,50.26,45.43,9,64,64,alta,5,Podría mejorar,0,40.0,0,-1.54,0
CerealNova,cereal,marketplace,109.03,56.57,52.46,48.12,8,49,59,baja,8,Se siente de buena calidad,1,76.0,1,-9.12,0
CornCrisp,cereal,retail,76.79,46.66,30.13,39.24,6,71,45,media,3,No lo volvería a comprar,-1,11.0,0,3.19,0
FitMorning,cereal,retail,95.14,55.13,40.01,42.05,6,56,75,media,6,Es un cereal promedio,0,47.0,0,25.09,1
FitMorning,cereal,retail,151.11,93.95,57.16,37.83,5,38,77,baja,7,Podría mejorar,0,54.0,0,9.4,0
CornCrisp,cereal,marketplace,106.85,74.3,32.55,30.46,7,63,54,media,5,Solo lo compraría en promoción,0,40.0,0,-2.1,0
HoneyOats,cereal,retail,122.24,71.11,51.13,41.83,6,49,31,media,5,Nada extraordinario,0,40.0,0,-7.81,0
FiberPlus,cereal,marketplace,116.8,62.19,54.61,46.76,8,59,59,media,7,"Está bien, cumple",0,54.0,0,7.32,0
FitMorning,cereal,marketplace,123.25,70.35,52.9,42.92,5,49,56,media,5,Podría mejorar,0,40.0,0,11.11,1
GoldenGrain,cereal,marketplace,85.04,47.39,37.65,44.27,8,74,74,alta,7,Podría mejorar,0,54.0,0,5.97,0
FitMorning,cereal,retail,131.03,83.65,47.38,36.16,9,54,54,baja,7,Podría mejorar,0,54.0,0,-21.22,0
CerealNova,cereal,retail,84.12,57.21,26.91,31.99,6,77,46,media,6,Es un cereal promedio,0,47.0,0,13.59,1
CornCrisp,cereal,retail,58.71,37.22,21.49,36.6,7,69,53,baja,6,Es un cereal promedio,0,47.0,0,11.72,1
VitalMix,cereal,retail,128.95,77.68,51.27,39.76,5,62,45,media,6,"Está bien, cumple",0,47.0,0,18.89,1
ChocoBoom,cereal,retail,75.46,45.82,29.64,39.28,9,85,47,alta,8,Me encanta el sabor y la textura,1,76.0,1,11.73,1
ChocoBoom,cereal,marketplace,74.22,48.99,25.23,33.99,5,84,84,media,9,Excelente relación calidad-precio,1,83.0,1,43.88,1
CornCrisp,cereal,retail,105.83,69.76,36.07,34.08,7,60,53,media,6,"Está bien, cumple",0,47.0,0,7.63,0
FiberPlus,cereal,retail,155.69,104.49,51.2,32.89,9,43,50,media,6,Podría mejorar,0,47.0,0,-18.13,0
VitalMix,cereal,retail,108.99,59.51,49.48,45.4,7,62,46,baja,9,Se siente de buena calidad,1,83.0,1,2.49,0
HoneyOats,cereal,retail,90.84,62.89,27.95,30.77,5,85,48,alta,5,Nada extraordinario,0,40.0,0,24.3,1
CrunchMax,cereal,retail,91.05,54.29,36.76,40.37,6,49,61,baja,7,"Está bien, cumple",0,54.0,0,10.38,0
VitalMix,cereal,retail,83.94,41.86,42.08,50.13,5,64,62,media,7,Solo lo compraría en promoción,0,54.0,0,20.54,1
ChocoBoom,cereal,marketplace,57.78,29.65,28.13,48.68,6,97,64,media,6,"Está bien, cumple",0,47.0,0,22.57,1
VitalMix,cereal,retail,80.94,43.18,37.76,46.65,6,72,60,alta,9,Me gusta mucho esta marca,1,83.0,1,27.04,1
KidsStar,cereal,retail,86.1,51.17,34.93,40.57,8,77,47,media,6,Es un cereal promedio,0,47.0,0,2.49,0
CornCrisp,cereal,retail,90.37,61.26,29.11,32.21,6,65,54,media,5,Es un cereal promedio,0,40.0,0,0.82,0
FiberPlus,cereal,marketplace,120.5,63.45,57.05,47.34,7,68,62,media,5,"Está bien, cumple",0,40.0,0,1.39,0
FiberPlus,cereal,retail,114.85,72.72,42.13,36.68,5,75,54,media,6,Solo lo compraría en promoción,0,47.0,0,17.17,1
GoldenGrain,cereal,marketplace,125.09,88.72,36.37,29.08,6,49,55,baja,5,Solo lo compraría en promoción,0,40.0,0,-3.94,0
FitMorning,cereal,retail,128.38,85.85,42.53,33.13,7,67,44,media,4,No me convence el producto,-1,18.0,0,-6.36,0
